Arena progression proposal
100 arenas, Clash-style progression.
Pattern = +300, +300, +400 repeated.
Threshold = minimum trophies required for that arena.

001. Beginner - 0
002. Pebble - 300
003. Slate - 600
004. Willow - 1000
005. Bamboo - 1300
006. Mist - 1600
007. Ember - 2000
008. Ripple - 2300
009. Jade - 2600
010. Quartz - 3000
011. Cedar - 3300
012. Lantern - 3600
013. Silver - 4000
014. Marble - 4300
015. Onyx - 4600
016. Gold - 5000
017. Harbor - 5300
018. Lotus - 5600
019. Horizon - 6000
020. Ironwood - 6300
021. Frost - 6600
022. Platinum - 7000
023. Aurora - 7300
024. Cobalt - 7600
025. Obsidian - 8000
026. Verdant - 8300
027. Sunstone - 8600
028. Crimson - 9000
029. Ivory - 9300
030. Tempest - 9600
031. Moonfall - 10000
032. Crown - 10300
033. Zenith - 10600
034. Rift - 11000
035. Eclipse - 11300
036. Polaris - 11600
037. Vanguard - 12000
038. Aether - 12300
039. Radiant - 12600
040. Titan - 13000
041. Summit - 13300
042. Meridian - 13600
043. Stratus - 14000
044. Runic - 14300
045. Solaris - 14600
046. Luminous - 15000
047. Sentinel - 15300
048. Atlas - 15600
049. Obelisk - 16000
050. Torrent - 16300
051. Glacier - 16600
052. Tundra - 17000
053. Equinox - 17300
054. Stellar - 17600
055. Dominion - 18000
056. Arcane - 18300
057. Gilded - 18600
058. Citadel - 19000
059. Dynasty - 19300
060. Nebula - 19600
061. Eon - 20000
062. Vortex - 20300
063. Bastion - 20600
064. Seraph - 21000
065. Pinnacle - 21300
066. Legacy - 21600
067. Mirage - 22000
068. Relic - 22300
069. Fable - 22600
070. Inferno - 23000
071. Cosmos - 23300
072. Triumph - 23600
073. Vertex - 24000
074. Empyrean - 24300
075. Astral - 24600
076. Lumina - 25000
077. Crest - 25300
078. Axiom - 25600
079. Evermore - 26000
080. Crownfall - 26300
081. Nexus - 26600
082. Prism - 27000
083. Monolith - 27300
084. Oracle - 27600
085. Nova - 28000
086. Halo - 28300
087. Omen - 28600
088. Prime - 29000
089. Valor - 29300
090. Regent - 29600
091. Exalted - 30000
092. Sanctum - 30300
093. Celestial - 30600
094. Immortal - 31000
095. Infinity - 31300
096. Ethereal - 31600
097. Ascension - 32000
098. Transcend - 32300
099. Eternal - 32600
100. Apex - 33000
